DRS,city
BAURU,AGUAS DE SANTA BARBARA
BAURU,AGUDOS
BAURU,ANHEMBI
BAURU,ARANDU
BAURU,AREALVA
BAURU,AREIOPOLIS
BAURU,AVAI
BAURU,AVARE
BAURU,BALBINOS
BAURU,BARAO DE ANTONINA
BAURU,BARIRI
BAURU,BARRA BONITA
BAURU,BAURU
BAURU,BOCAINA
BAURU,BOFETE
BAURU,BORACEIA
BAURU,BOREBI
BAURU,BOTUCATU
BAURU,BROTAS
BAURU,CABRALIA PAULISTA
BAURU,CAFELANDIA
BAURU,CERQUEIRA CESAR
BAURU,CONCHAS
BAURU,CORONEL MACEDO
BAURU,DOIS CORREGOS
BAURU,DUARTINA
BAURU,FARTURA
BAURU,GETULINA
BAURU,GUAICARA
BAURU,IACANGA
BAURU,IARAS
BAURU,IGARACU DO TIETE
BAURU,ITAI
BAURU,ITAJU
BAURU,ITAPORANGA
BAURU,ITAPUI
BAURU,ITATINGA
BAURU,JAU
BAURU,LARANJAL PAULISTA
BAURU,LENCOIS PAULISTA
BAURU,LINS
BAURU,LUCIANOPOLIS
BAURU,MACATUBA
BAURU,MANDURI
BAURU,MINEIROS DO TIETE
BAURU,PARANAPANEMA
BAURU,PARDINHO
BAURU,PAULISTANIA
BAURU,PEDERNEIRAS
BAURU,PEREIRAS
BAURU,PIRAJU
BAURU,PIRAJUI
BAURU,PIRATININGA
BAURU,PONGAI
BAURU,PORANGABA
BAURU,PRATANIA
BAURU,PRESIDENTE ALVES
BAURU,PROMISSAO
BAURU,REGINOPOLIS
BAURU,SABINO
BAURU,SAO MANUEL
BAURU,SARUTAIA
BAURU,TAGUAI
BAURU,TAQUARITUBA
BAURU,TEJUPA
BAURU,TORRE DE PEDRA
BAURU,TORRINHA
BAURU,URU
