DRS,city
ARACATUBA,ALTO ALEGRE
ARACATUBA,ANDRADINA
ARACATUBA,ARACATUBA
ARACATUBA,AURIFLAMA
ARACATUBA,AVANHANDAVA
ARACATUBA,BARBOSA
ARACATUBA,BENTO DE ABREU
ARACATUBA,BILAC
ARACATUBA,BIRIGUI
ARACATUBA,BRAUNA
ARACATUBA,BREJO ALEGRE
ARACATUBA,BURITAMA
ARACATUBA,CASTILHO
ARACATUBA,CLEMENTINA
ARACATUBA,COROADOS
ARACATUBA,GABRIEL MONTEIRO
ARACATUBA,GLICERIO
ARACATUBA,GUARACAI
ARACATUBA,GUARARAPES
ARACATUBA,GUZOLANDIA
ARACATUBA,ILHA SOLTEIRA
ARACATUBA,ITAPURA
ARACATUBA,LAVINIA
ARACATUBA,LOURDES
ARACATUBA,LUIZIANIA
ARACATUBA,MIRANDOPOLIS
ARACATUBA,MURUTINGA DO SUL
ARACATUBA,NOVA CASTILHO
ARACATUBA,NOVA INDEPENDENCIA
ARACATUBA,NOVA LUZITANIA
ARACATUBA,PENAPOLIS
ARACATUBA,PEREIRA BARRETO
ARACATUBA,PIACATU
ARACATUBA,RUBIACEA
ARACATUBA,SANTO ANTONIO DO ARACANGUA
ARACATUBA,SANTOPOLIS DO AGUAPEI
ARACATUBA,SUD MENNUCCI
ARACATUBA,SUZANAPOLIS
ARACATUBA,TURIUBA
ARACATUBA,VALPARAISO
